FundataKey|AsOfDate|1MthReturn|3MthReturn|6MthReturn|YTDReturn|1YrSimpleReturn|3YrSimpleReturn|5YrSimpleReturn|10YrSimpleReturn|1YrCompoundReturn|3YrCompoundReturn|5YrCompoundReturn|10YrCompoundReturn|InceptionReturn|TotalDist|DistYield
38903|08/31/2020|6.668|15.362|22.541|9.972|21.619|18.186|4.154||21.619|12.516|11.029||9.631|0.098906|1.0499
38904|08/31/2020|4.971|11.957|17.002|6.8|16.676|15.994|3.886||16.676|10.223|9.246||8.685|0.1831938|2.4643
38906|08/31/2020|-0.612|2.733|4.058|7.527|5.72|0.287|4.874||5.72|4.814|3.479||3.786|0.2654329|2.261
38907|08/31/2020|0.418|2.646|1.639|2.946|2.593|0.377|5.231||2.593|2.51|3.091||3.033|0.2164283|2.015
38908|08/31/2020|3.677|11.081|10.069|4.677|10.661|5.521|8.555||10.661|6.875|7.69||6.144|0.4906311|3.7594
38909|08/31/2020|3.566|10.719|9.365|3.795|9.258|4.185|7.176||9.258|5.524|6.326||4.789|0.3215624|2.489
38913|08/31/2020|3.639|11.391|6.065|2.912|7.207|1.67|8.54||7.207|3.923|6.331||3.223|0.4907625|6.0411
38914|08/31/2020|3.54|11.069|5.468|2.15|6.011|0.542|7.347||6.011|2.768|5.154||2.085|0.4725565|6.8082
38917|08/31/2020|3.367|9.463|1.083|-2.598|0.611|-0.091|3.902||0.611|0.134|2.495||-0.31|0.2406289|3.4944
38918|08/31/2020|3.43|9.672|1.463|-2.115|1.365|0.659|4.65||1.365|0.883|3.255||0.379|0.2902452|4.1624
38919|08/31/2020|4.213|12.841|12.227|3.329|13.538|4.579|7.604||13.538|4.628|6.905||5.374|0.2116498|1.2642
38920|08/31/2020|4.332|13.231|12.994|4.263|15.085|5.985|9.032||15.085|6.042|8.344||6.761|0.2517913|1.2611
38942|08/31/2020|3.02|21.905|18.483|11.607|27.044|-3.847|21.545||27.044|7.824|11.381||5||
38943|08/31/2020|3.167|22.419|19.414|12.745|28.944|-2.423|22.905||28.944|9.397|12.856||6.32||
38959|08/31/2020|-0.118|3.561|3.133|3.633|4.063|2.799|5.349||4.063|4.173|3.78||4.008||
38960|08/31/2020|-0.113|3.576|3.162|3.67|4.12|2.933|5.524||4.12|4.257|3.899||4.159||
38961|08/31/2020|-0.109|3.59|3.19|3.708|4.178|2.99|5.584||4.178|4.314|3.957||4.235||
38962|08/31/2020|1.166|4.936|2.123|-0.276|2.466|6.059|1.996||2.466|1.185|1.583||2.785||
38963|08/31/2020|1.18|4.982|2.209|-0.165|2.637|6.236|2.167||2.637|1.354|1.752||2.964||
38964|08/31/2020|1.198|5.038|2.317|-0.025|2.854|6.337|2.212||2.854|1.528|1.875||3.078||
38970|08/31/2020|1.256|6.323|7.18|5.606|6.083|4.028|8.037||6.083|5.14|5.501||3.844||
38971|08/31/2020|1.081|3.54|-0.608|-0.399|1.926|-0.462|5.217||1.926|2.141|3.818||8.219|0.4959802|3.5743
38972|08/31/2020|1.081|3.54|-0.608|-0.399|1.926|-0.462|5.217||1.926|2.141|3.818||8.557|0.4959874|3.5744
38973|08/31/2020|1.12|3.672|-0.351|-0.062|2.437|0.03|5.709||2.437|2.649|4.325||8.63|0.5655122|4.0754
38975|08/31/2020|1.27|6.368|7.269|5.722|6.259|4.2|8.217||6.259|5.313|5.675||4.02||
38976|08/31/2020|1.092|3.58|-0.531|-0.298|2.079|-0.31|3.2||2.079|2.295|2.96||7.679|0.5168438|3.7247
38977|08/31/2020|1.288|6.424|7.382|5.87|6.482|4.297|8.265||6.482|5.493|5.802||4.128||
38992|08/31/2020|1.097|4.59|0.608|-0.669|1.448|0.81|3.222|-4.554|1.448|0.897|2.328|2.116|1.725|0.26375|3.5048
38993|08/31/2020|7.444|18|26.554|23.038|30.762|24.43|6.489||30.762|20.233|16.665||13.79||
38994|08/31/2020|3.167|5.705|2.355|-8.545|-0.965|6.833|10.402||-0.965|2.392|5.236||7.302|0.18906|0.969
38999|08/31/2020|0.296|4.003|4.154|5.86|5.738|6.084|10.763||5.738|6.786|6.215||7.057|0.498|4.5512
39000|08/31/2020|0.608|4.612|3.777|5.428|5.504|8.146|12.104||5.504|7.21|6.845||7.796|0.492|4.0642
