FundataKey|Date|StyleBias|MktCapBias|ModDurationDate|ModDuration|AvgMaturity|ShortTermBond|MidTermBond|LongTermBond|AsOfDate|CreditRating
10499|06/30/2020||||||||||
10500|06/30/2020|Growth|Large||||||||
10502|06/30/2020||||||||||
10503|06/30/2020||||||0|0|0||
10505|06/30/2020|Growth|Mid||||||||
10506|06/30/2020||||||||||
10507|06/30/2020||||||||||
10508|06/30/2020||||||||||
10509|06/30/2020|Growth|Large|06/30/2020|8.505112|9.83|7.99|6.81|12.35|06/30/2020|50
10516|07/31/2020|Growth|Large|07/31/2020|8.460797|8.71|15.95|4.78|16.32|07/31/2020|50
10518|07/31/2020|||07/31/2020|8.251476|9.64|33.8|18.12|33.66|07/31/2020|60
10519|05/31/2020|Growth|Large||||||||
10520|07/31/2020|Blend|Large||||||||
10521|07/31/2020|Growth|Large||||||||
10522|07/31/2020|Growth|Large||||||||
10523|07/31/2020|Growth|Large||||||||
10524|07/31/2020|Growth|Large||||||||
10527|07/31/2020|Growth|Large||||||||
10528|07/31/2020|||07/31/2020|7.246829|7.37|17.43|7.8|17.58|07/31/2020|70
10531|05/31/2020|Growth|Large|||8.19|16.72|4.11|16.44||
10532|07/31/2020||||||||||
10533|07/31/2020|||07/31/2020|2.884027|2.9|44.7|16.33|2.15|07/31/2020|50
10536|07/31/2020|Growth|Large||||||||
10537|07/31/2020|Growth|Mid||||||||
10541|04/30/2020|Growth|Small||||||||
10543|07/31/2020|Growth|Large||||||||
10544|07/31/2020|Growth|Large||||||||
10545|07/31/2020||||||||||
10548|07/31/2020|Growth|Large||||||||
10573|08/31/2020|Growth|Large||||||||
10574|08/31/2020|Growth|Mid||||||||
10580|08/31/2020|Growth|Large|08/31/2020|3.493432|10.1|22.16|13.03|2.43|08/31/2020|-10
10582|08/31/2020|Growth|Large|08/31/2020|5.551157|11.32|11.88|5.56|5.83|08/31/2020|70
10595|08/31/2020|Growth|Mid||||||||
10613|12/31/2019|Growth|Large||||||||
10614|12/31/2019|Growth|Small||||||||
10617|12/31/2019|||||11|43.33|5.41|37.72||
10618|12/31/2019|Growth|Large||||||||
10627|07/31/2020|Growth|Large|07/31/2020|6.334046|4.5|9.33||12.08|07/31/2020|100
10629|07/31/2020|||07/31/2020|6.541004|1|53.01||35.81|07/31/2020|100
10635|05/31/2020|Growth|Large||||||||
10636|05/31/2020|Growth|Large||||||||
10683|07/31/2020|Growth|Large||||||||
10690|05/31/2020|Growth|Large||||||||
10692|05/31/2020|Growth|Large|||11.79|2.91|0.74|20.56||
10698|05/31/2020|Growth|Large||||41.68|8.53|3.76||
10700|05/31/2020||||||||||
10702|12/31/2019|Growth|Large||||||||
10703|09/30/2019|Value|Large||||||||
10704|09/30/2019|Blend|Mid||||||||
10708|08/31/2020|||08/31/2020|7.973261|11.48|25.4|28.54|36.66|08/31/2020|50
10709|08/31/2020|Blend|Large|||29|0|0|1.46||
10710|08/31/2020|Growth|Large||||||||
10718|08/31/2020|Growth|Large||||||||
10735|08/31/2020||||||||||
10736|08/31/2020|Growth|Large||||||||
10738|08/31/2020|Growth|Large||||||||
10740|08/31/2020|Growth|Mid||||||||
10744|08/31/2020|||08/31/2020|7.716008|12.57|25.66|22.82|41.04|08/31/2020|60
10745|07/31/2020|Growth|Large|07/31/2020|7.761538|8.53|12.45|8.7|16.15|07/31/2020|50
10747|07/31/2020|Blend|Small||||||||
10750|07/31/2020|Blend|Large||||||||
10751|07/31/2020|Blend|Large||||||||
10752|07/31/2020|Growth|Large||||||||
10753|07/31/2020|Growth|Large||||||||
10754|07/31/2020|Growth|Large||||||||
10755|07/31/2020|Blend|Large||||||||
10756|07/31/2020|||07/31/2020|8.325936|8.88|26.82|23.06|44.21|07/31/2020|50
10757|07/31/2020|||07/31/2020|7.921192|18.59|36.5|11.24|36.65|07/31/2020|40
10758|07/31/2020|Growth|Large||||||||
10759|07/31/2020|Growth|Large||||||||
10760|07/31/2020|Growth|Large||||||||
10761|07/31/2020|Growth|Large||||||||
10762|07/31/2020|Growth|Mid||||||||
10764|05/31/2020|Blend|Large||||||||
10765|07/31/2020|Growth|Large|07/31/2020|7.355314|7.12|16.06|9.64|16.15|07/31/2020|50
10766|07/31/2020||||||||||
10767|07/31/2020||||||||||
10768|07/31/2020|||07/31/2020|2.723517|2.94|78.02|10.31|2.73|07/31/2020|70
10770|07/31/2020||||||||||
10771|07/31/2020||||||||||
10772|07/31/2020|Growth|Large||||||||
10773|07/31/2020|Growth|Large||||||||
10774|07/31/2020|Growth|Large||||||||
10785|08/31/2020|Growth|Large||||||||
10788|08/31/2020|Growth|Large||||||||
10791|08/31/2020|Growth|Large|08/31/2020|3.493432|10.1|22.16|13.03|2.43|08/31/2020|-10
10792|08/31/2020|Blend|Large||||||||
10793|08/31/2020|||08/31/2020|7.973261|11.48|25.4|28.54|36.66|08/31/2020|50
10795|08/31/2020|Blend|Large|||29|0|0|1.46||
10796|08/31/2020|Growth|Large|08/31/2020|4.002429|10.43|13.56|3.77|4.05|08/31/2020|50
10799|08/31/2020|Growth|Large||||||||
10800|08/31/2020|Growth|Large||||||||
10801|08/31/2020|Growth|Large|08/31/2020|5.531678|11.32|11.9|5.53|5.81|08/31/2020|70
10802|08/31/2020|Blend|Large||||||||
10803|08/31/2020|Growth|Large|08/31/2020|4.002429|10.43|13.56|3.77|4.05|08/31/2020|50
10805|08/31/2020||||||||||
10806|08/31/2020|Growth|Large|08/31/2020|5.551157|11.32|11.88|5.56|5.83|08/31/2020|70
10807|08/31/2020|Growth|Large||||||||
10809|07/31/2020|Growth|Large|07/31/2020|5.287336|9.92|19.42|4.85|9.99||
10814|08/31/2020|Growth|Large||||||||
10815|08/31/2020|Growth|Large||||||||
10816|08/31/2020|Growth|Large|08/31/2020|5.531678|11.32|11.9|5.53|5.81|08/31/2020|70
10817|08/31/2020||||||||||
10818|08/31/2020|Growth|Large||||||||
10819|08/31/2020|Blend|Large||||||||
10821|08/31/2020|Growth|Large||||||||
10823|08/31/2020|Growth|Large||||||||
10827|08/31/2020|Growth|Large||||||||
10829|08/31/2020|Growth|Large||||||||
10830|08/31/2020||||||||||
10831|08/31/2020|||08/31/2020|7.716008|12.57|25.66|22.82|41.04|08/31/2020|60
10832|07/31/2020|||07/31/2020|8.457877|10.05|27.66|22.81|46.56|07/31/2020|70
10833|07/31/2020|||07/31/2020|2.752251|2.65|83.85|12.82||07/31/2020|80
10834|07/31/2020|Growth|Large||||||||
10836|07/31/2020|||07/31/2020|6.813839|4.57|30.58|6.68|22.42||
10837|07/31/2020|Growth|Large||||||||
10838|07/31/2020|Growth|Large||||||||
10839|07/31/2020|Blend|Large||||||||
10843|07/31/2020|Growth|Large||||||||
10844|08/31/2020|Growth|Large||||||||
10851|08/31/2020|Growth|Mid||||||||
10857|08/31/2020|Growth|Large||||||||
10860|08/31/2020|Blend|Large||||||||
10862|08/31/2020|Growth|Mid||||||||
10863|08/31/2020|Growth|Large||||||||
10867|08/31/2020|Growth|Large||||||||
10870|08/31/2020|Blend|Large||||||||
10871|08/31/2020|Blend|Large||||||||
10874|08/31/2020|Growth|Large||||||||
10875|08/31/2020|Growth|Large||||||||
10877|08/31/2020||||||||||
10878|08/31/2020|Growth|Large||||||||
10885|08/31/2020|Growth|Mid||||||||
10891|08/31/2020|Growth|Large||||||||
10894|08/31/2020|Blend|Large||||||||
10896|08/31/2020|Growth|Mid||||||||
10897|08/31/2020|Growth|Large||||||||
10901|08/31/2020|Growth|Large||||||||
10904|08/31/2020|Blend|Large||||||||
10905|08/31/2020|Blend|Large||||||||
10908|08/31/2020|Growth|Large||||||||
10909|08/31/2020|Growth|Large||||||||
10911|08/31/2020||||||||||
10922|07/31/2020|Growth|Large|07/31/2020|4.321429|6.14|15.07|11.23|4.73|07/31/2020|50
10923|07/31/2020|Blend|Small||||||||
10925|07/31/2020|Growth|Large||||||||
10926|07/31/2020|Growth|Large|07/31/2020|2.644039|3.18|19.47|3.48|1.82|07/31/2020|-10
10930|07/31/2020|Growth|Large||||||||
10934|07/31/2020|Growth|Large||||||||
10941|07/31/2020|Growth|Large||||||||
10943|07/31/2020|Blend|Large||||||||
10944|07/31/2020|Blend|Large||||||||
10946|07/31/2020|||07/31/2020|3.433272|3.7|65.01|21.15|8.84|07/31/2020|90
10947|07/31/2020|Growth|Large||||||||
10948|07/31/2020|Growth|Large||||||||
10949|07/31/2020|Growth|Large|07/31/2020|7.680452||10.3|11.56|18.43|07/31/2020|40
10950|07/31/2020|Growth|Large||||||||
10952|07/31/2020|Blend|Small||||||||
10953|07/31/2020|Growth|Large||||||||
10955|07/31/2020|Growth|Large||||||||
10956|07/31/2020|Growth|Large|07/31/2020|8.845931||14.89|14.36|20.12|07/31/2020|80
10961|07/31/2020|Blend|Mid||||0|0|0||
10963|07/31/2020|Growth|Large||||||||
10965|07/31/2020|Growth|Large||||||||
10966|07/31/2020|Growth|Large||||||||
10967|07/31/2020|Blend|Large||||||||
10968|07/31/2020|Growth|Large||||||||
10969|07/31/2020|||07/31/2020|8.506866|9.79|31.78|19.3|40.95|07/31/2020|60
10970|07/31/2020|Growth|Large||||||||
10971|07/31/2020|||||9.34|15.77|14.67|18||
10972|07/31/2020|Growth|Large|07/31/2020|8.341684|9.86|13.35|8.33|16.7|07/31/2020|60
10973|07/31/2020||||||||||
