FundataKey|AsOfDate|TotalDist-CurrMth|TotalDist-YTD|TotalDist-12Mth|DistYield|DivDist-CurrMth|DivDist-YTD|DivDist-12Mth|FgnDivDist-CurrMth|FgnDivDist-YTD|FgnDivDist-12Mth|CapGainsDist-CurrMth|CapGainsDist-YTD|CapGainsDist-12Mth|IntIncDist-CurrMth|IntIncDist-YTD|IntIncDist-12Mth|RtnPrinciple-CurrMth|RtnPrinciple-YTD|RtnPrinciple-12Mth|DistFrequency
16220|08/31/2020|||0.8986014|4.3102|||0.8986014|||||||||||||Annual
16221|08/31/2020|0.013048|0.1011768|0.2141154|2.2427|0.013048|0.1011768|0.1388831||||||0.0752323|||||||Monthly
16222|08/31/2020|0.013427|0.1041165|0.2687182|2.7145|0.013427|0.1041165|0.2082494||||||0.0604688|||||||Monthly
16230|08/31/2020|||3.745433|3.4532|||2.90596||||||0.839473|||||||Annual
16240|08/31/2020|0.026|0.208|0.311233|6.7818|0.005008|0.013919|0.020303||||0.020992|0.146494|0.22196||0.047587|0.06897||||Monthly
16241|08/31/2020||0.254575|0.512604|4.2939||0.163457|0.163457|||||0.091118|0.349147|||||||Quarterly
16243|08/31/2020||||||||||||||||||||Annual
16253|08/31/2020||0.201792|0.406194|4.1652||0.133129|0.133129|||||0.068663|0.273065|||||||Quarterly
16255|08/31/2020||0.141509|0.296204|3.9617||0.092522|0.092522|||||0.048987|0.203682|||||||Quarterly
16272|08/31/2020||0.2113516|0.2113516|2.5991||||||||0.2113516|0.2113516|||||||Annual
16273|08/31/2020||0.1541091|0.1541091|2.4693||||||||0.1541091|0.1541091|||||||Annual
16276|08/31/2020||1.3603357|1.3603357|8.8898||||||||1.3603357|1.3603357|||||||Annual
16277|08/31/2020||0.9919024|0.9919024|8.4458||||||||0.9919024|0.9919024|||||||Annual
16291|08/31/2020||||||||||||||||||||No Distribution
16310|08/31/2020||0.6941355|0.6941355|8.5982||0.0864934|0.0864934|||||0.6076421|0.6076421|||||||Annual
16311|08/31/2020||0.505341|0.505341|8.156||0.0622727|0.0622727|||||0.4430683|0.4430683|||||||Annual
16312|08/31/2020|||0.898561|6.4553|||||||||0.716413|||0.182148||||Annual
16314|08/31/2020|||0.594315|4.2081|||||||||0.497781|||0.096534||||Annual
16316|08/31/2020|0.047|0.376|0.564|5.0169|0.001653|0.02787|0.044361||||0.045347|0.306101|0.413335||0.042029|0.106304||||Monthly
16322|08/31/2020|||1.514985|7.6676|||||||||1.506253|||0.008732||||Annual
16327|08/31/2020|||2.04008|9.4254|||||||||2.04008|||||||Annual
16354|08/31/2020|0.020017|0.160935|0.236263|2.2061|0.020017|0.060193|0.078959||||||||0.100742|0.157304||||Monthly
16358|08/31/2020||0.5799654|0.5799654|8.577||0.0721472|0.0721472|||||0.5078182|0.5078182|||||||Annual
16365|08/31/2020||0.2512395|0.2512395|2.5938||||||||0.2512395|0.2512395|||||||Annual
16367|08/31/2020||1.3036152|1.3036152|8.8706||||||||1.3036152|1.3036152|||||||Annual
16381|08/31/2020|||0.084398|0.7835|||0.084398|||||||||||||Annual
16385|08/31/2020|||0.202559|0.9937|||0.202559|||||||||||||Annual
16390|08/31/2020|0.013417|0.10736|0.158395|3.035|0.013417|0.04016|0.052891||||||||0.0672|0.105504||||Monthly
16395|08/31/2020|0.06|0.48|0.7702382|5.5216|0.0021256|0.140505|0.22751||||||0.092384||||0.0578744|0.339495|0.4503442|Monthly
16412|08/31/2020|0.055|0.44|0.66|6.1155|0.011353|0.054689|0.080435||||0.043647|0.296717|0.399677||0.088594|0.179888||||Monthly
16423|08/31/2020|||4.727793|9.1688|||||||||4.700544|||0.027249||||Annual
16427|08/31/2020|||1.146072|7.7416|||||||||0.913751|||0.232321||||Annual
16429|08/31/2020|||4.499625|12.2282|||||||||4.499625|||||||Annual
16430|08/31/2020|||1.662889|5.4844|||||||||1.392787|||0.270102||||Annual
16466|08/31/2020||0.129534|0.242015|1.958||0.129534|0.242015|||||||||||||Quarterly
16472|08/31/2020|||0.328446|0.7193|||0.328446|||||||||||||Annual
16479|08/31/2020||0.042004|0.1012166|0.5739||0.042004|0.1012166|||||||||||||Monthly
16481|08/31/2020||0.01298|0.01298|0.0534||0.01298|0.01298|||||||||||||Annual
16482|08/31/2020||0.0089259|0.0089259|0.0479||0.0089259|0.0089259|||||||||||||Annual
16483|08/31/2020||0.01494|0.01494|0.0483||0.01494|0.01494|||||||||||||Annual
16484|08/31/2020||0.0102737|0.0102737|0.0433||0.0102737|0.0102737|||||||||||||Annual
16485|08/31/2020||||||||||||||||||||Annual
16486|08/31/2020||||||||||||||||||||Annual
16487|08/31/2020||||||||||||||||||||Annual
16488|08/31/2020||||||||||||||||||||Annual
16490|08/31/2020||1.6973|1.6973|5.513||0.1987|0.1987|||||1.4986|1.4986|||||||Annual
16496|08/31/2020|||0.3228|1.8196|||0.2665|||||||||0.0563||||Annual
16497|08/31/2020||||||||||||||||||||Annual
16507|08/31/2020||||||||||||||||||||Annual
16508|08/31/2020||0.323811|0.323811|2.6507||0.323811|0.323811|||||||||||||Annual
16509|08/31/2020||0.254675|0.254675|2.6704||0.254675|0.254675|||||||||||||Annual
16512|08/31/2020||||||||||||||||||||Annual
16513|08/31/2020||||||||||||||||||||Annual
16521|08/31/2020||||||||||||||||||||Annual
16522|08/31/2020||||||||||||||||||||Annual
16529|08/31/2020||0.003485|0.003485|0.0411||0.003485|0.003485|||||||||||||Annual
16530|08/31/2020||0.0026522|0.0026522|0.0408||0.0026522|0.0026522|||||||||||||Annual
16536|08/31/2020||0.01031|0.01031|0.1008||0.01031|0.01031|||||||||||||Annual
16537|08/31/2020||0.0078463|0.0078463|0.1||0.0078463|0.0078463|||||||||||||Annual
16538|08/31/2020||0.061887|0.061887|0.4338||||||||0.061887|0.061887|||||||Annual
16539|08/31/2020||0.0470982|0.0470982|0.4305||||||||0.0470982|0.0470982|||||||Annual
16555|08/31/2020||0.004065|0.004065|0.0409||0.004065|0.004065|||||||||||||Annual
16556|08/31/2020||0.0030936|0.0030936|0.0406||0.0030936|0.0030936|||||||||||||Annual
16557|08/31/2020||0.004021|0.004021|0.0409||0.004021|0.004021|||||||||||||Annual
16558|08/31/2020||0.0030601|0.0030601|0.0406||0.0030601|0.0030601|||||||||||||Annual
16559|08/31/2020||0.022394|0.022394|0.4018||||||||0.022394|0.022394|||||||Annual
16560|08/31/2020||0.0170426|0.0170426|0.3987||||||||0.0170426|0.0170426|||||||Annual
16561|08/31/2020||0.027721|0.027721|0.399||||||||0.027721|0.027721|||||||Annual
16562|08/31/2020||0.0210967|0.0210967|0.396||||||||0.0210967|0.0210967|||||||Annual
16563|08/31/2020||0.025685|0.025685|0.3998||||||||0.025685|0.025685|||||||Annual
16564|08/31/2020||0.0195472|0.0195472|0.3968||||||||0.0195472|0.0195472|||||||Annual
