FundataKey|Date|NAVPS|MER|TotalAssets|DividendIncome|CapitalGains|ReturnOfCapital|DistributionTotal|SplitFactor|DistributionFrequency
10470|08/31/2020|9.2184|5.16|0.170657||||||No Distribution
10471|08/31/2020|23.0105|4.48|3.661951||||||No Distribution
10475|08/31/2020|21.886209|2.213716|113.468768||||||Annual
10476|08/31/2020|41.216408|1.074853|567.676182||||||Annual
10477|08/31/2020|27.211152|1.942695|2159.29541||||||Quarterly
10478|08/31/2020|10|1.040727|34.053968||||0.000773||Monthly
10479|08/31/2020|18.021434|1.090954|91.073315||||||Annual
10480|08/31/2020|12.325397|0.851009|370.092321||||0.018355||Monthly
10481|08/31/2020|67.014312|1.728967|8330.738215||||||Quarterly
10482|08/31/2020|32.634491|2.063306|251.689029||||||Annual
10484|08/31/2020|14.301372|1.301103|2654.938899||||0.020619||Monthly
10486|08/31/2020|10|1.242604|166.187673||||0.000769||Monthly
10487|08/31/2020|35.203497|2.225866|31.682127||||||Annual
10488|08/31/2020|29.670546|0.99818|273.870473||||||Annual
10493|08/31/2020|77.07991|2.083101|219.834251||||||Annual
10494|08/31/2020|15.95874|2.360569|16.08409||||||Annual
10496|08/31/2020|10.98838|1.562398|16.48119||||||Monthly
10498|08/31/2020|12.415308|1.295739|53.877124||||0.010062||Monthly
10499|08/31/2020|10.338162|1.259685|32.026026||||||Annual
10500|08/31/2020|98.32819|2.204761|332.870085||||||Annual
10502|08/31/2020|10|0.893814|1249.693896||||0.0027043||Monthly
10503|08/31/2020|10.660946|1.477074|456.503434||||0.006732||Monthly
10505|08/31/2020|24.899013|2.071926|84.377066||||||Annual
10506|08/31/2020|10|0.328269|67.722308||||0.000778||Monthly
10507|08/31/2020|10|0.56|||||0.0025||Monthly
10508|08/31/2020|10|0.56|||||0.0038||Monthly
10509|08/31/2020|20.540357|1.943727|942.138794||||||Quarterly
10516|08/31/2020|22.4444|2.12|1398.402||||||Annual
10518|08/17/2020|14.4528|||0.013848|||0.013848||Monthly
10518|08/31/2020|14.4292|1.6|244.386||||||Monthly
10519|08/31/2020|31.6402|2.39|623.812||||||Annual
10520|08/31/2020|12.4294|1.05|52.074||||||Annual
10521|08/31/2020|73.7226|1.8|4429.499||||||Quarterly
10522|08/31/2020|16.6821|2.55|121.294||||||Annual
10523|08/31/2020|34.5263|0.93|270.844||||||Annual
10524|08/31/2020|23.3109|2.52|58.046||||||Annual
10527|08/17/2020|20.0965|||0.05|||0.05||Monthly
10527|08/31/2020|20.2793|2.45|89.035||||||Monthly
10528|08/17/2020|10.7563|||0.02|||0.02||Monthly
10528|08/31/2020|10.7354|2.27|134.146||||||Monthly
10531|08/17/2020|6.6825|||0.024|||0.024||Monthly
10531|08/31/2020|6.6748|1.57|3644.773||||||Monthly
10532|08/31/2020|1|1.15|345.909|0.000044|||0.000044||Monthly
10533|08/17/2020|11.1608|||0.009067|||0.009067||Monthly
10533|08/31/2020|11.1669|1.57|157.669||||||Monthly
10534|08/31/2020|36.0417|2.53|297.628||||||Quarterly
10536|08/31/2020|32.8261|2.41|69.387||||||Annual
10537|08/31/2020|37.9301|2.36|79.65||||||Annual
10541|08/31/2020|51.1512|2.5|192.915||||||Annual
10543|08/31/2020|20.4298|0.98|96.107||||||Annual
10544|08/31/2020|24.5092|1|420.536||||||Annual
10545|08/31/2020|1|1.19|9.813|0.000043|||0.000043||Monthly
10548|08/31/2020|26.6721|2.49|724.707||||||Annual
10551|08/31/2020|13.5601|||0.0091|||0.0091||Monthly
10555|08/31/2020|20.9517|||0.0067|||0.0067||Monthly
10558|08/31/2020|3.3921|||0.0132|||0.0132||Monthly
10573|08/31/2020|25.074|2.44|1907.102||||||Annual
10574|08/31/2020|62.5107|2.43|63.443095||||||Annual
10580|08/28/2020|12.2241|||0.027098|0.042902||0.07||Monthly
10580|08/31/2020|12.1368|1.59|5846.846777||||||Monthly
10582|08/31/2020|16.8296|2.43|2285.321279||||||Annual
10595|08/31/2020|47.9251|2.44|||||||Annual
10613|08/31/2020|16.7953|0.3177|37.393116||||||Quarterly
10614|08/31/2020|17.2518|0.1236|172.53351||||||Quarterly
10617|08/31/2020|11.6629|0.4073|25.971229|0.020211|||0.020211||Monthly
10618|08/31/2020|25.7562|0.0988|294.829703||||||Quarterly
10627|08/31/2020|11.3704|2.83|||||||Annual
10629|08/31/2020|4.8181||||||||Annual
10635|08/31/2020|11.2348|2.29|||||||Annual
10636|08/31/2020|9.5995|2.27|||||||Annual
10683|08/31/2020|28.347473|2.47|189.02||||||Quarterly
10690|08/31/2020|23.4402|2.32|261.472||||||Annual
10692|08/31/2020|18.1252|2.41|932.606||||||Quarterly
10698|08/31/2020|15.6908|2.35|49.516496||||||Annual
10700|08/31/2020|10|1.24|20.305026||||0.0000301||Monthly
10702|08/31/2020|42.87|1.5|||||||Quarterly
10703|08/31/2020|81.1061|1.81|125.855863||||||Annual
10704|08/31/2020|19.9486|1.81|28.616753||||||Annual
10708|08/28/2020|6.1613|||0.014885|||0.014885||Monthly
10708|08/31/2020|6.1744|1.41|3087.835268||||||Monthly
10709|08/28/2020|12.9685|||0.024641|0.015359||0.04||Monthly
10709|08/31/2020|12.8675|1.88|819.618242||||||Monthly
10710|08/31/2020|24.6488|2.33|142.377643||||||Annual
10718|08/31/2020|23.0163|2.45|294.481131||||||Annual
10735|08/31/2020|10|0.78|1129.873223||||||Monthly
10736|08/31/2020|35.1491|2.46|295.872248||||||Annual
10738|08/31/2020|21.3717|2.44|26.789968||||||Annual
10740|08/31/2020|14.1828|2.29|92.75176||||||Annual
10744|08/28/2020|4.3374|||0.001308|||0.001308||Monthly
10744|08/31/2020|4.3246|1.53|513.25028||||||Monthly
10745|08/31/2020|20.1254|2.3|332.512657||||||Quarterly
10747|08/31/2020|33.046|2.35|134.130587||||||Annual
10750|08/31/2020|16.6999|2.79|433.111717||||||Annual
10751|08/31/2020|13.2981|2.37|38.557602||||||Annual
10752|08/31/2020|24.0053|2.2|346.35754||||||Annual
10753|08/31/2020|20.8181|2.5|346.997041||||||Annual
10754|08/31/2020|19.0208|2.75|148.975782||||||Annual
10755|08/31/2020|26.9307|2.45|124.663605||||||Annual
10756|08/31/2020|15.085|1.4|3454.843224|0.02048|||0.02048||Monthly
10757|08/31/2020|12.3636|1.8|645.703183||||||Quarterly
10758|08/31/2020|24.7465|2.58|||||||Annual
10759|08/31/2020|52.5114|2.52|298.589654||||||Annual
10760|08/31/2020|17.9335|2.11|940.396143||||||Annual
10761|08/31/2020|32.3953|2.02|622.465961||||||Quarterly
10762|08/31/2020|38.4219|2.8|35.568174||||||Annual
10765|08/31/2020|11.6701|1.46|3890.652824|0.06|||0.06||Monthly
10766|08/31/2020|10|0.28|1088.084176|0.0009829|||0.0009829||Monthly
10767|08/31/2020|10|0.71|2113.163894|0.0016939|||0.0016939||Monthly
10768|08/31/2020|11.7753|1.2|468.54169|0.0112148|||0.0112148||Monthly
10770|08/31/2020|18.5432|2.43|77.794459||||||Annual
10771|08/31/2020|10|0.38||0.0015027|||0.0015027||Monthly
10772|08/31/2020|31.9755|2.66|41.874515||||||Annual
