FundataKey|FundservCode|LoadType|ServiceFeeRate|ServiceFeeFrequency
10204|AIM593|Front End Load||
10204|AIM599|Low Service Charge||
10211|AIM021|Deferred Sales Charge (Back End Load)||
10211|AIM023|Front End Load||
10211|AIM025|Low Service Charge||
10211|AIM029|Low Service Charge||
10229|AIM301|Deferred Sales Charge (Back End Load)||
10229|AIM303|Front End Load||
10229|AIM305|Low Service Charge||
10229|AIM309|Low Service Charge||
10239|AIM580|Low Service Charge||
10239|AIM586|Low Service Charge||
10239|AIM592|Deferred Sales Charge (Back End Load)||
10239|AIM594|Front End Load||
10267|NBC857|No Load||
10269|NBC844|No Load||
10271|NBC879|No Load||
10281|NBC887|No Load||
10288|NBC196|No Load||
10290|NBC843|No Load||
10298|AGF9412|Deferred Sales Charge (Back End Load)||
10298|AGF9413|Front End Load||
10298|AGF9417|Low Service Charge||
10309|NBC00003|No Load||
10309|NBC962|No Load||
10310|NBC00004|No Load||
10310|NBC963|No Load||
10311|NBC00006|No Load||
10311|NBC965|No Load||
10312|NBC00002|No Load||
10312|NBC961|No Load||
10313|NBC00007|No Load||
10313|NBC966|No Load||
10314|NBC00001|No Load||
10314|NBC960|No Load||
10351|TAI503|Front End Load||
10351|TAI504|Deferred Sales Charge (Back End Load)||
10351|TAI523|Front End Load||
10353|TAI507|Front End Load||
10353|TAI508|Deferred Sales Charge (Back End Load)||
10353|TAI527|Front End Load||
10360|TAI603|Front End Load||
10360|TAI604|Deferred Sales Charge (Back End Load)||
10360|TAI623|Front End Load||
10362|TAI607|Front End Load||
10362|TAI608|Deferred Sales Charge (Back End Load)||
10362|TAI627|Front End Load||
10429|FBQ070|No Load||
10430|FBQ060|No Load||
10435|TML233|No Load||
10435|TML3995|No Load||
10436|TML231|No Load||
10436|TML5016|No Load||
10437|TML230|No Load||
10437|TML3993|No Load||
10438|TML232|No Load||
10438|TML3990|No Load||
10439|TML237|No Load||
10439|TML5017|No Load||
10444|TML236|No Load||
10444|TML3997|No Load||
10445|TML252|No Load||
10445|TML3987|No Load||
10446|TML253|No Load||
10446|TML3999|No Load||
10447|CIG134|Front End Load||
10447|CIG234|Deferred Sales Charge (Back End Load)||
10448|CIG142|Front End Load||
10448|CIG242|Deferred Sales Charge (Back End Load)||
10449|CIG141|Front End Load||
10449|CIG241|Deferred Sales Charge (Back End Load)||
10450|CIG140|Front End Load||
10450|CIG240|Deferred Sales Charge (Back End Load)||
10451|CIG131|Front End Load||
10451|CIG231|Deferred Sales Charge (Back End Load)||
10452|CIG133|Front End Load||
10452|CIG233|Deferred Sales Charge (Back End Load)||
10453|CIG132|Front End Load||
10453|CIG232|Deferred Sales Charge (Back End Load)||
10454|CIG139|Front End Load||
10454|CIG239|Deferred Sales Charge (Back End Load)||
10456|CIG135|Front End Load||
10456|CIG235|Deferred Sales Charge (Back End Load)||
10457|CIG138|Front End Load||
10457|CIG238|Deferred Sales Charge (Back End Load)||
10458|CIG136|Front End Load||
10458|CIG236|Deferred Sales Charge (Back End Load)||
10459|CIG137|Front End Load||
10459|CIG237|Deferred Sales Charge (Back End Load)||
10460|CIG334|Front End Load||
10460|CIG434|Deferred Sales Charge (Back End Load)||
10461|CIG342|Front End Load||
10461|CIG442|Deferred Sales Charge (Back End Load)||
10462|CIG341|Front End Load||
10462|CIG441|Deferred Sales Charge (Back End Load)||
10463|CIG340|Front End Load||
10463|CIG440|Deferred Sales Charge (Back End Load)||
10464|CIG331|Front End Load||
10464|CIG431|Deferred Sales Charge (Back End Load)||
10465|CIG333|Front End Load||
10465|CIG433|Deferred Sales Charge (Back End Load)||
10466|CIG332|Front End Load||
10466|CIG432|Deferred Sales Charge (Back End Load)||
10467|CIG339|Front End Load||
10467|CIG439|Deferred Sales Charge (Back End Load)||
10468|CIG335|Front End Load||
10468|CIG435|Deferred Sales Charge (Back End Load)||
10469|CIG338|Front End Load||
10469|CIG438|Deferred Sales Charge (Back End Load)||
10470|CIG336|Front End Load||
10470|CIG436|Deferred Sales Charge (Back End Load)||
10471|CIG337|Front End Load||
10471|CIG437|Deferred Sales Charge (Back End Load)||
10475|BNS353|No Load||
10476|BNS382|No Load||
10477|BNS378|No Load||
10478|BNS358|No Load||
10479|BNS351|No Load||
10480|BNS386|No Load||
10481|BNS385|No Load||
10482|BNS350|No Load||
10484|BNS377|No Load||
10486|BNS375|No Load||
10487|BNS384|No Load||
10488|BNS381|No Load||
10493|BNS372|No Load||
10494|BNS376|No Load||
10496|BNS379|No Load||
10498|BNS359|No Load||
10499|BNS387|No Load||
10500|BNS352|No Load||
10500|BNS374|No Load||
10502|BNS357|No Load||
10503|BNS361|No Load||
10505|BNS362|No Load||
10506|BNS360|No Load||
10507|BNS367|No Load||
10508|BNS368|No Load||
10509|BNS371|No Load||
10516|BMO145|No Load||
10516|BMO70145|No Load||
10518|BMO143|No Load||
10518|BMO70143|No Load||
10519|BMO135|No Load||
10519|BMO70135|No Load||
10520|BMO70727|No Load||
10520|BMO727|No Load||
10521|BMO146|No Load||
10521|BMO70146|No Load||
10522|BMO70718|No Load||
10522|BMO718|No Load||
10523|BMO144|No Load||
10523|BMO70144|No Load||
10524|BMO70719|No Load||
10524|BMO719|No Load||
10527|BMO70725|No Load||
10527|BMO725|No Load||
10528|BMO70716|No Load||
10528|BMO716|No Load||
10531|BMO148|No Load||
10531|BMO70148|No Load||
10532|BMO142|No Load||
10532|BMO70142|No Load||
10533|BMO141|No Load||
10533|BMO70141|No Load||
10534|BMO70721|No Load||
10534|BMO721|No Load||
10536|BMO147|No Load||
10536|BMO70147|No Load||
10537|BMO137|No Load||
10537|BMO70137|No Load||
10541|BMO136|No Load||
10541|BMO70136|No Load||
10543|BMO70803|No Load||
10543|BMO803|No Load||
10544|BMO70722|No Load||
10544|BMO722|No Load||
10545|BMO70801|No Load||
10545|BMO801|No Load||
10548|BMO70723|No Load||
10548|BMO723|No Load||
10573|CIG14115|Front End Load||
10573|CIG14215|Deferred Sales Charge (Back End Load)||
10573|CIG1777|Low Service Charge||
10573|CIG677|Front End Load||
10573|CIG777|Deferred Sales Charge (Back End Load)||
10574|CIG14200|Deferred Sales Charge (Back End Load)||
10574|CIG1813|Low Service Charge||
10574|CIG213|Initial Service Charge||
10574|CIG813|Deferred Sales Charge (Back End Load)||
10580|CIG14214|Deferred Sales Charge (Back End Load)||
10580|CIG1786|Low Service Charge||
10580|CIG686|Front End Load||
10580|CIG786|Deferred Sales Charge (Back End Load)||
10582|CIG11331|Low Service Charge||
10582|CIG1785|Low Service Charge||
10582|CIG685|Front End Load||
10582|CIG785|Deferred Sales Charge (Back End Load)||
10595|CIG1613|Low Service Charge||
10595|CIG313|Front End Load||
10595|CIG613|Deferred Sales Charge (Back End Load)||
10613|MBI411|No Load||
10614|MBI407|No Load||
10617|MBI406|No Load||
10618|MBI202|No Load||
10627|CWF001|Deferred Sales Charge (Back End Load)||
10627|CWF011|Low Service Charge||
10627|CWF101|Front End Load||
10629|CWF003|Deferred Sales Charge (Back End Load)||
10629|CWF023|Deferred Sales Charge (Back End Load)||
10629|CWF033|Low Service Charge||
10629|CWF103|Front End Load||
10635|DYN5412|Front End Load||
10635|DYN5413|Low Service Charge||
10635|DYN5414|Deferred Sales Charge (Back End Load)||
10636|DYN5712|Front End Load||
10636|DYN5713|Low Service Charge||
10636|DYN5714|Deferred Sales Charge (Back End Load)||
10683|AGF137|Low Service Charge||
10683|AGF9165|Low Service Charge||
10683|AGF9623|Front End Load||
10683|AGF9626|Deferred Sales Charge (Back End Load)||
10690|DYN1204|Front End Load||
10690|DYN1404|Front End Load||
10690|DYN1504|Deferred Sales Charge (Back End Load)||
10690|DYN1604|Deferred Sales Charge (Back End Load)||
10690|DYN1704|Deferred Sales Charge (Back End Load)||
10690|DYN204|Front End Load||
10690|DYN214|Low Service Charge||
10690|DYN304|Deferred Sales Charge (Back End Load)||
10690|DYN314|Deferred Sales Charge (Back End Load)||
10690|DYN3304|Front End Load||
10690|DYN3404|Low Service Charge||
10690|DYN3504|Deferred Sales Charge (Back End Load)||
