FundataKey|FundservCode|LoadType|ServiceFeeRate|ServiceFeeFrequency
35099|GWL049|Front End Load||
35099|GWL149|Deferred Sales Charge (Back End Load)||
35099|GWL249|Deferred Sales Charge (Back End Load)||
35100|GWL449|Front End Load||
35100|GWL549|Deferred Sales Charge (Back End Load)||
35100|GWL649|Deferred Sales Charge (Back End Load)||
35101|GWL1049|Deferred Sales Charge (Back End Load)||
35101|GWL849|Front End Load||
35101|GWL949|Deferred Sales Charge (Back End Load)||
35102|GWL459|Front End Load||
35102|GWL559|Deferred Sales Charge (Back End Load)||
35102|GWL659|Deferred Sales Charge (Back End Load)||
35103|GWL1059|Deferred Sales Charge (Back End Load)||
35103|GWL859|Front End Load||
35103|GWL959|Deferred Sales Charge (Back End Load)||
35104|GWL460|Front End Load||
35104|GWL560|Deferred Sales Charge (Back End Load)||
35104|GWL660|Deferred Sales Charge (Back End Load)||
35105|GWL1060|Deferred Sales Charge (Back End Load)||
35105|GWL860|Front End Load||
35105|GWL960|Deferred Sales Charge (Back End Load)||
35106|GWL461|Front End Load||
35106|GWL561|Deferred Sales Charge (Back End Load)||
35106|GWL661|Deferred Sales Charge (Back End Load)||
35107|GWL1061|Deferred Sales Charge (Back End Load)||
35107|GWL861|Front End Load||
35107|GWL961|Deferred Sales Charge (Back End Load)||
35108|GWL462|Front End Load||
35108|GWL562|Deferred Sales Charge (Back End Load)||
35108|GWL662|Deferred Sales Charge (Back End Load)||
35109|GWL1062|Deferred Sales Charge (Back End Load)||
35109|GWL862|Front End Load||
35109|GWL962|Deferred Sales Charge (Back End Load)||
35110|GWL1050|Deferred Sales Charge (Back End Load)||
35110|GWL850|Front End Load||
35110|GWL950|Deferred Sales Charge (Back End Load)||
35111|GWL463|Front End Load||
35111|GWL563|Deferred Sales Charge (Back End Load)||
35111|GWL663|Deferred Sales Charge (Back End Load)||
35112|GWL044|Front End Load||
35112|GWL144|Deferred Sales Charge (Back End Load)||
35112|GWL244|Low Service Charge||
35113|GWL1063|Deferred Sales Charge (Back End Load)||
35113|GWL863|Front End Load||
35113|GWL963|Deferred Sales Charge (Back End Load)||
35114|GWL464|Front End Load||
35114|GWL564|Deferred Sales Charge (Back End Load)||
35114|GWL664|Deferred Sales Charge (Back End Load)||
35115|GWL1064|Deferred Sales Charge (Back End Load)||
35115|GWL864|Front End Load||
35115|GWL964|Deferred Sales Charge (Back End Load)||
35116|GWL444|Front End Load||
35116|GWL544|Deferred Sales Charge (Back End Load)||
35116|GWL644|Deferred Sales Charge (Back End Load)||
35117|GWL465|Front End Load||
35117|GWL565|Deferred Sales Charge (Back End Load)||
35117|GWL665|Deferred Sales Charge (Back End Load)||
35118|GWL1044|Deferred Sales Charge (Back End Load)||
35118|GWL844|Front End Load||
35118|GWL944|Deferred Sales Charge (Back End Load)||
35119|GWL1065|Deferred Sales Charge (Back End Load)||
35119|GWL865|Front End Load||
35119|GWL965|Deferred Sales Charge (Back End Load)||
35120|GWL012|Front End Load||
35120|GWL112|Deferred Sales Charge (Back End Load)||
35120|GWL212|Low Service Charge||
35121|GWL466|Front End Load||
35121|GWL566|Deferred Sales Charge (Back End Load)||
35121|GWL666|Deferred Sales Charge (Back End Load)||
35122|GWL1066|Deferred Sales Charge (Back End Load)||
35122|GWL866|Front End Load||
35122|GWL966|Deferred Sales Charge (Back End Load)||
35123|GWL412|Front End Load||
35123|GWL512|Deferred Sales Charge (Back End Load)||
35123|GWL612|Deferred Sales Charge (Back End Load)||
35124|GWL467|Front End Load||
35124|GWL567|Deferred Sales Charge (Back End Load)||
35124|GWL667|Deferred Sales Charge (Back End Load)||
35125|GWL1067|Deferred Sales Charge (Back End Load)||
35125|GWL867|Front End Load||
35125|GWL967|Deferred Sales Charge (Back End Load)||
35126|GWL468|Front End Load||
35126|GWL568|Deferred Sales Charge (Back End Load)||
35126|GWL668|Deferred Sales Charge (Back End Load)||
35127|GWL1068|Deferred Sales Charge (Back End Load)||
35127|GWL868|Front End Load||
35127|GWL968|Deferred Sales Charge (Back End Load)||
35128|GWL469|Front End Load||
35128|GWL569|Deferred Sales Charge (Back End Load)||
35128|GWL669|Deferred Sales Charge (Back End Load)||
35129|GWL1012|Deferred Sales Charge (Back End Load)||
35129|GWL812|Front End Load||
35129|GWL912|Deferred Sales Charge (Back End Load)||
35130|GWL1069|Deferred Sales Charge (Back End Load)||
35130|GWL869|Front End Load||
35130|GWL969|Deferred Sales Charge (Back End Load)||
35131|GWL470|Front End Load||
35131|GWL570|Deferred Sales Charge (Back End Load)||
35131|GWL670|Deferred Sales Charge (Back End Load)||
35132|GWL1070|Deferred Sales Charge (Back End Load)||
35132|GWL870|Front End Load||
35132|GWL970|Deferred Sales Charge (Back End Load)||
35133|GWL023|Front End Load||
35133|GWL123|Deferred Sales Charge (Back End Load)||
35133|GWL223|Deferred Sales Charge (Back End Load)||
35134|GWL471|Front End Load||
35134|GWL571|Deferred Sales Charge (Back End Load)||
35134|GWL671|Deferred Sales Charge (Back End Load)||
35135|GWL1071|Deferred Sales Charge (Back End Load)||
35135|GWL871|Front End Load||
35135|GWL971|Deferred Sales Charge (Back End Load)||
35136|GWL423|Front End Load||
35136|GWL523|Deferred Sales Charge (Back End Load)||
35136|GWL623|Deferred Sales Charge (Back End Load)||
35137|GWL472|Front End Load||
35137|GWL572|Deferred Sales Charge (Back End Load)||
35137|GWL672|Deferred Sales Charge (Back End Load)||
35138|GWL1072|Deferred Sales Charge (Back End Load)||
35138|GWL872|Front End Load||
35138|GWL972|Deferred Sales Charge (Back End Load)||
35139|GWL1023|Deferred Sales Charge (Back End Load)||
35139|GWL823|Front End Load||
35139|GWL923|Deferred Sales Charge (Back End Load)||
35142|GWL476|Front End Load||
35142|GWL576|Deferred Sales Charge (Back End Load)||
35142|GWL676|Deferred Sales Charge (Back End Load)||
35143|GWL1076|Deferred Sales Charge (Back End Load)||
35143|GWL876|Front End Load||
35143|GWL976|Deferred Sales Charge (Back End Load)||
35144|GWL477|Front End Load||
35144|GWL577|Deferred Sales Charge (Back End Load)||
35144|GWL677|Deferred Sales Charge (Back End Load)||
35145|GWL1077|Deferred Sales Charge (Back End Load)||
35145|GWL877|Front End Load||
35145|GWL977|Deferred Sales Charge (Back End Load)||
35148|GWL021|Front End Load||
35148|GWL121|Deferred Sales Charge (Back End Load)||
35148|GWL221|Deferred Sales Charge (Back End Load)||
35149|GWL421|Front End Load||
35149|GWL521|Deferred Sales Charge (Back End Load)||
35149|GWL621|Deferred Sales Charge (Back End Load)||
35150|GWL1021|Deferred Sales Charge (Back End Load)||
35150|GWL821|Front End Load||
35150|GWL921|Deferred Sales Charge (Back End Load)||
35151|GWL034|Front End Load||
35151|GWL134|Deferred Sales Charge (Back End Load)||
35151|GWL234|Deferred Sales Charge (Back End Load)||
35152|GWL434|Front End Load||
35152|GWL534|Deferred Sales Charge (Back End Load)||
35152|GWL634|Deferred Sales Charge (Back End Load)||
35153|GWL1034|Deferred Sales Charge (Back End Load)||
35153|GWL834|Front End Load||
35153|GWL934|Deferred Sales Charge (Back End Load)||
35154|GWL017|Front End Load||
35154|GWL117|Deferred Sales Charge (Back End Load)||
35154|GWL217|Deferred Sales Charge (Back End Load)||
35155|GWL417|Front End Load||
35155|GWL517|Deferred Sales Charge (Back End Load)||
35155|GWL617|Deferred Sales Charge (Back End Load)||
35156|GWL1017|Deferred Sales Charge (Back End Load)||
35156|GWL817|Front End Load||
35156|GWL917|Deferred Sales Charge (Back End Load)||
35157|GWL020|Front End Load||
35157|GWL120|Deferred Sales Charge (Back End Load)||
35157|GWL220|Deferred Sales Charge (Back End Load)||
35158|GWL420|Front End Load||
35158|GWL520|Deferred Sales Charge (Back End Load)||
35158|GWL620|Deferred Sales Charge (Back End Load)||
35159|GWL1020|Deferred Sales Charge (Back End Load)||
35159|GWL820|Front End Load||
35159|GWL920|Deferred Sales Charge (Back End Load)||
35160|GWL055|Front End Load||
35160|GWL155|Deferred Sales Charge (Back End Load)||
35160|GWL255|Deferred Sales Charge (Back End Load)||
35161|GWL455|Front End Load||
35161|GWL555|Deferred Sales Charge (Back End Load)||
35161|GWL655|Deferred Sales Charge (Back End Load)||
35162|GWL1055|Deferred Sales Charge (Back End Load)||
35162|GWL855|Front End Load||
35162|GWL955|Deferred Sales Charge (Back End Load)||
35163|GWL048|Front End Load||
35163|GWL148|Deferred Sales Charge (Back End Load)||
35163|GWL248|Deferred Sales Charge (Back End Load)||
35164|GWL448|Front End Load||
35164|GWL548|Deferred Sales Charge (Back End Load)||
35164|GWL648|Deferred Sales Charge (Back End Load)||
35165|GWL1048|Deferred Sales Charge (Back End Load)||
35165|GWL848|Front End Load||
35166|GWL411|Front End Load||
35166|GWL511|Deferred Sales Charge (Back End Load)||
35166|GWL611|Deferred Sales Charge (Back End Load)||
35167|GWL1011|Deferred Sales Charge (Back End Load)||
35167|GWL811|Front End Load||
35167|GWL911|Deferred Sales Charge (Back End Load)||
35168|TML3385|No Load||
35175|JHN80380|Deferred Sales Charge (Back End Load)||
35176|JHN80360|Deferred Sales Charge (Back End Load)||
35179|CIB932|No Load||
35180|CIB933|No Load||
35181|CIB934|No Load||
35182|CIB935|No Load||
35183|CIB936|No Load||
35184|CIB937|No Load||
35185|CIB938|No Load||
35186|CIB939|No Load||
35187|CIB940|No Load||
35188|CIB941|No Load||
35189|CIB942|No Load||
35190|CIB943|No Load||
35191|CIB944|No Load||
35192|CIB945|No Load||
35193|CIB946|No Load||
35194|CIB947|No Load||
35195|CIB949|No Load||
35196|CIB950|No Load||
35197|CIB951|No Load||
35198|CIB952|No Load||
35199|CIB953|No Load||
35201|CIB955|No Load||
35251|FID2471|Deferred Sales Charge (Back End Load)||
35251|FID2571|Low Service Charge||
35251|FID2671|Low Service Charge||
35256|FID2371|Low Service Charge||
35256|FID2871|Low Service Charge||
35256|FID471|Deferred Sales Charge (Back End Load)||
35256|FID971|Low Service Charge||
35260|FID2771|Front End Load||
35263|FID771|Front End Load||
35271|CCM6000|Front End Load||
35271|CCM6001|Deferred Sales Charge (Back End Load)||
35271|CCM6002|Low Service Charge||
35272|CCM5003|No Load||
35276|CCM5005|Front End Load||
35276|CCM5006|Deferred Sales Charge (Back End Load)||
35276|CCM5007|Low Service Charge||
35279|CCM5008|No Load||
35282|CCM5010|Front End Load||
35282|CCM5011|Deferred Sales Charge (Back End Load)||
35282|CCM5012|Low Service Charge||
35283|CCM5013|No Load||
35286|CCM5015|Front End Load||
35286|CCM5016|Deferred Sales Charge (Back End Load)||
35286|CCM5017|Low Service Charge||
35288|CCM5020|Front End Load||
35288|CCM5021|Deferred Sales Charge (Back End Load)||
35288|CCM5022|Low Service Charge||
35290|CCM6020|Front End Load||
35290|CCM6021|Deferred Sales Charge (Back End Load)||
35290|CCM6022|Low Service Charge||
35291|CCM5025|Front End Load||
35291|CCM5026|Deferred Sales Charge (Back End Load)||
35291|CCM5027|Low Service Charge||
35292|CCM5028|No Load||
35299|DYN1320|Front End Load||
35299|DYN1321|Low Service Charge||
35299|DYN1322|Deferred Sales Charge (Back End Load)||
35299|DYN7120|Low Service Charge||
35300|DYN1323|No Load||
35301|DYN272|No Load||
35303|DYN274|No Load||
35306|NWT944|No Load||
35307|NWT943|No Load||
35308|NWT941|No Load||
35309|NWT942|No Load||
35313|MAW120|No Load||
35314|BMO97804|Deferred Sales Charge (Back End Load)||
35314|BMO98804|Low Service Charge||
35314|BMO99804|Front End Load||
35315|MAW220|No Load||
35316|BMO92804|Deferred Sales Charge (Back End Load)||
35316|BMO93804|Low Service Charge||
35316|BMO94804|Front End Load||
35317|BMO95804|No Load||
35318|BMO77602|Deferred Sales Charge (Back End Load)||
35318|BMO78602|Low Service Charge||
35318|BMO79602|Front End Load||
35320|BMO68602|No Load||
35320|BMO88602|No Load||
35321|BMO81602|Front End Load||
35322|BMO97145|Deferred Sales Charge (Back End Load)||
35322|BMO98145|Low Service Charge||
35322|BMO99145|Front End Load||
35323|BMO92145|Deferred Sales Charge (Back End Load)||
35323|BMO93145|Low Service Charge||
35323|BMO94145|Front End Load||
35324|BMO68145|No Load||
35324|BMO713|No Load||
35324|BMO95145|No Load||
35325|BMO81145|Front End Load||
35326|BMO97143|Deferred Sales Charge (Back End Load)||
35326|BMO98143|Low Service Charge||
35326|BMO99143|Front End Load||
35327|BMO81143|Front End Load||
35328|BMO68221|No Load||
35328|BMO88221|No Load||
35329|BMO97718|Deferred Sales Charge (Back End Load)||
35329|BMO98718|Low Service Charge||
35329|BMO99718|Front End Load||
35330|BMO77718|Deferred Sales Charge (Back End Load)||
35330|BMO78718|Low Service Charge||
35330|BMO79718|Front End Load||
35331|BMO97719|Deferred Sales Charge (Back End Load)||
35331|BMO98719|Low Service Charge||
35331|BMO99719|Front End Load||
35332|BMO77719|Deferred Sales Charge (Back End Load)||
35332|BMO78719|Low Service Charge||
35332|BMO79719|Front End Load||
35334|BMO92211|Deferred Sales Charge (Back End Load)||
35334|BMO93211|Low Service Charge||
35334|BMO94211|Front End Load||
35335|BMO68211|No Load||
35335|BMO88211|No Load||
35336|BMO77211|Deferred Sales Charge (Back End Load)||
35336|BMO78211|Low Service Charge||
35336|BMO79211|Front End Load||
35337|BMO72211|Deferred Sales Charge (Back End Load)||
35337|BMO73211|Low Service Charge||
35337|BMO74211|Front End Load||
35340|BMO97142|Deferred Sales Charge (Back End Load)||
35340|BMO98142|Low Service Charge||
35340|BMO99142|Front End Load||
35341|BMO479|No Load||
35341|BMO68142|No Load||
35341|BMO95142|No Load||
35342|BMO81142|Front End Load||
35343|BMO77137|Deferred Sales Charge (Back End Load)||
35343|BMO78137|Low Service Charge||
35343|BMO79137|Front End Load||
35349|BMO97801|Deferred Sales Charge (Back End Load)||
35349|BMO98801|Low Service Charge||
35349|BMO99801|Front End Load||
35350|BMO81801|Front End Load||
35351|BMO97737|Deferred Sales Charge (Back End Load)||
35351|BMO98737|Low Service Charge||
35351|BMO99737|Front End Load||
35352|HKB521|No Load||
35355|KPT101|No Load||
35356|KPT111|No Load||
35371|FAF5705|No Load||
35376|FAF5700|Deferred Sales Charge (Back End Load)||
35376|FAF5701|Low Service Charge||
35376|FAF5703|Front End Load||
35380|AIM43203|Front End Load||
35381|AIM43207|No Load||
35383|AIM44203|Front End Load||
35384|AIM44207|No Load||
35398|AIM52203|Front End Load||
35399|AIM52207|No Load||
35402|CCM3029|Front End Load||
35402|CCM3030|Deferred Sales Charge (Back End Load)||
35402|CCM3031|Low Service Charge||
35403|CCM3032|Front End Load||
35403|CCM3033|Deferred Sales Charge (Back End Load)||
35403|CCM3034|Low Service Charge||
35404|CCM3035|No Load||
35405|CCM3036|No Load||
35416|ATL1002|Front End Load||
35416|ATL1102|Deferred Sales Charge (Back End Load)||
35416|ATL2102|Low Service Charge||
35417|ATL1202|Front End Load||
35418|ATL016|No Load||
35420|JHN80533|Deferred Sales Charge (Back End Load)||
35421|JHN80501|Deferred Sales Charge (Back End Load)||
35422|JHN80517|Deferred Sales Charge (Back End Load)||
35424|NWT019|Front End Load||
35424|NWT10019|Low Service Charge||
35424|NWT10319|Low Service Charge||
35424|NWT10619|Low Service Charge||
35424|NWT119|Deferred Sales Charge (Back End Load)||
35425|NWT919|No Load||
35426|NWT020|Front End Load||
35426|NWT10020|Low Service Charge||
35426|NWT10120|Deferred Sales Charge (Back End Load)||
35426|NWT10620|Low Service Charge||
35426|NWT320|Low Service Charge||
35427|NWT920|No Load||
35432|ATL2401|Front End Load||
35432|ATL2402|Low Service Charge||
35432|ATL2403|Deferred Sales Charge (Back End Load)||
35433|ATL2407|Front End Load||
35433|ATL2408|Low Service Charge||
35433|ATL2409|Deferred Sales Charge (Back End Load)||
35434|ATL2413|Front End Load||
35434|ATL2414|Low Service Charge||
35434|ATL2415|Deferred Sales Charge (Back End Load)||
35435|ATL2404|Front End Load||
35435|ATL2405|Low Service Charge||
35435|ATL2406|Deferred Sales Charge (Back End Load)||
35436|ATL2410|Front End Load||
35436|ATL2411|Low Service Charge||
35436|ATL2412|Deferred Sales Charge (Back End Load)||
35437|ATL2416|Front End Load||
35437|ATL2417|Low Service Charge||
35437|ATL2418|Deferred Sales Charge (Back End Load)||
35448|MFC1951|Front End Load||
35448|MFC3687|Deferred Sales Charge (Back End Load)||
35448|MFC4198|Low Service Charge||
35462|IGS00749|Deferred Sales Charge (Back End Load)||
35468|MFC1952|Front End Load||
35468|MFC3688|Deferred Sales Charge (Back End Load)||
35468|MFC4199|Low Service Charge||
35471|MFC1953|No Load||
35475|MFC1861|No Load||
35478|MFC1954|No Load||
35481|MFC1955|No Load||
35483|MFC1956|Front End Load||
35485|MFC1957|Front End Load||
35486|MFC1958|Front End Load||
35489|MFC1959|Front End Load||
35491|MFC1960|Front End Load||
35491|MFC3689|Deferred Sales Charge (Back End Load)||
35491|MFC4200|Low Service Charge||
35496|MFC1961|Front End Load||
35496|MFC3690|Deferred Sales Charge (Back End Load)||
35496|MFC4201|Low Service Charge||
35543|CIG1319|Low Service Charge||
35543|CIG2319|Initial Service Charge||
35543|CIG3319|Deferred Sales Charge (Back End Load)||
35545|CIG1419|Low Service Charge||
35545|CIG2519|Initial Service Charge||
35545|CIG3519|Deferred Sales Charge (Back End Load)||
35549|IGS00751|Deferred Sales Charge (Back End Load)||
35551|IGS00753|Deferred Sales Charge (Back End Load)||
35562|CIG119T5|Front End Load||
35562|CIG219T5|Deferred Sales Charge (Back End Load)||
35562|CIG319T5|Low Service Charge||
35563|CIG619T8|Initial Service Charge||
35563|CIG719T8|Deferred Sales Charge (Back End Load)||
35563|CIG819T8|Low Service Charge||
35566|CIG4319|No Load||
35567|CIG4519|No Load||
35573|CIG419T5|No Load||
35576|CIG919T8|No Load||
35585|CIG5331|No Load||
35587|CIG519T5|No Load||
35588|CIG019T8|No Load||
35589|NGM372|No Load||
35590|NGM373|No Load||
35591|NGM370|No Load||
35592|NGM371|No Load||
35624|DON201|Front End Load||
35627|MMF13405|Deferred Sales Charge (Back End Load)||
35627|MMF13705|Low Service Charge||
35627|MMF3405|Deferred Sales Charge (Back End Load)||
35627|MMF3505|Front End Load||
35627|MMF3705|Low Service Charge||
35627|MMF8034|Low Service Charge||
35632|SLI25188|No Load||
35633|SLI25178|No Load||
35634|SLI20188|No Load||
35635|SLI25183|No Load||
35636|SLI20178|No Load||
35637|SLI20183|No Load||
35638|SLI20168|No Load||
35639|SLI20008|No Load||
35640|SLI20173|No Load||
35641|SLI20148|No Load||
35642|SLI20088|No Load||
35644|SLI20068|No Load||
35645|SLI20013|No Load||
35646|SLI20163|No Load||
35647|SLI20078|No Load||
35648|SLI20018|No Load||
35649|SLI20093|No Load||
35650|SLI20083|No Load||
35651|SLI20003|No Load||
35652|SLI20073|No Load||
35653|SLI20033|No Load||
35654|SLI20143|No Load||
35661|SLI25168|No Load||
35662|SLI25008|No Load||
35663|SLI25173|No Load||
35664|SLI20028|No Load||
35665|SLI25148|No Load||
35669|SLI25088|No Load||
35670|SLI20038|No Load||
35671|SLI20153|No Load||
35675|SLI20133|No Load||
35682|SLI25068|No Load||
35689|SLI25013|No Load||
35696|CGF712|No Load||
35701|SLI25163|No Load||
35702|SLI25078|No Load||
35703|SLI25018|No Load||
35705|SLI25093|No Load||
35706|SLI25083|No Load||
35707|SLI25003|No Load||
35709|BMO71719|No Load||
35710|SLI25073|No Load||
35711|BMO71718|No Load||
35712|SLI25033|No Load||
35713|SLI25143|No Load||
35722|SLI25028|No Load||
35726|SLI25038|No Load||
35727|SLI25153|No Load||
35731|SLI25133|No Load||
35739|PFC5809|Low Service Charge||
35741|PFC5808|Front End Load||
35755|MMF13429|Deferred Sales Charge (Back End Load)||
35755|MMF13729|Low Service Charge||
35755|MMF3271|Low Service Charge||
35755|MMF3429|Deferred Sales Charge (Back End Load)||
35755|MMF3529|Front End Load||
35755|MMF3729|Low Service Charge||
35756|MMF1273|Low Service Charge||
35756|MMF1274|Low Service Charge||
35756|MMF13432|Deferred Sales Charge (Back End Load)||
35756|MMF13732|Low Service Charge||
35756|MMF1672|Deferred Sales Charge (Back End Load)||
35756|MMF1673|Low Service Charge||
35756|MMF1872|Front End Load||
35756|MMF1873|Deferred Sales Charge (Back End Load)||
35756|MMF3432|Deferred Sales Charge (Back End Load)||
35756|MMF3532|Front End Load||
35756|MMF3732|Low Service Charge||
35756|MMF3870|Low Service Charge||
35764|MMF13446|Deferred Sales Charge (Back End Load)||
35764|MMF13746|Low Service Charge||
35764|MMF3446|Deferred Sales Charge (Back End Load)||
35764|MMF3546|Front End Load||
35764|MMF3670|Low Service Charge||
35764|MMF3746|Low Service Charge||
35786|JHN80502|Deferred Sales Charge (Back End Load)||
35789|JHN80518|Deferred Sales Charge (Back End Load)||
35792|VCM111|No Load||
35796|MMF1481|Deferred Sales Charge (Back End Load)||
35796|MMF1781|Low Service Charge||
35796|MMF4424|Deferred Sales Charge (Back End Load)||
35796|MMF44424|Deferred Sales Charge (Back End Load)||
35796|MMF44724|Low Service Charge||
35796|MMF4524|Front End Load||
35796|MMF4724|Low Service Charge||
35796|MMF4879|Low Service Charge||
35797|MMF4624|No Load||
35798|MMF4824|No Load||
35859|PHN9024|No Load||
35859|RBF259|No Load||
35860|DYN1530|No Load||
35873|GOC3301|Front End Load||
35873|GOC3331|Low Service Charge||
35881|GOC3302|No Load||
35910|RBF499|No Load||
35912|RBF699|No Load||
35917|PHN9599|No Load||
35917|RBF1099|No Load||
35918|RBF899|Deferred Sales Charge (Back End Load)||
35922|DYN2130|Front End Load||
35922|DYN2131|Low Service Charge||
35922|DYN2132|Deferred Sales Charge (Back End Load)||
35922|DYN2133|Front End Load||
35922|DYN2134|Low Service Charge||
35922|DYN2135|Deferred Sales Charge (Back End Load)||
35922|DYN7032|Low Service Charge||
35923|DYN2140|Front End Load||
35923|DYN2141|Low Service Charge||
35923|DYN2142|Deferred Sales Charge (Back End Load)||
35924|DYN2136|No Load||
35924|DYN2137|No Load||
35925|DYN2143|No Load||
35926|PHN9023|No Load||
35926|RBF10219|No Load||
35927|PHN9022|No Load||
35927|RBF10222|No Load||
35928|AIM53203|Front End Load||
35929|BMG200|Front End Load||
35929|BMG204|Low Service Charge||
35930|BMG202|No Load||
35931|BMG203|No Load||
35932|BMG201|Front End Load||
35932|BMG205|Low Service Charge||
35933|JMF301|No Load||
35934|AIM53207|No Load||
35935|AIM53200|No Load||
35936|AIM54203|Front End Load||
35937|AIM54207|No Load||
35938|AIM54200|No Load||
35939|AIM55203|Front End Load||
35940|AIM55207|No Load||
35941|AIM55200|No Load||
35942|AIM56203|Front End Load||
35943|AIM56207|No Load||
35945|AIM57203|Front End Load||
35946|AIM57207|No Load||
35947|AIM58203|Front End Load||
35948|AIM58207|No Load||
35949|AIM59203|Front End Load||
35950|AIM59207|No Load||
35951|AIM61203|Front End Load||
35952|AIM61207|No Load||
35953|AIM61303|Front End Load||
35954|AIM61403|Front End Load||
35962|LDM103|No Load||
35967|DYN1296|Deferred Sales Charge (Back End Load)||
35967|DYN1744|Front End Load||
35967|DYN1745|Low Service Charge||
35967|DYN1746|Low Service Charge||
35967|DYN1747|Deferred Sales Charge (Back End Load)||
35970|PHN670|No Load||
35970|RBF1670|No Load||
35971|PHN3670|No Load||
35971|RBF7670|No Load||
35972|PHN5670|No Load||
35972|RBF5670|No Load||
35973|PHN675|No Load||
35973|RBF8675|No Load||
35974|PHN660|No Load||
35974|RBF1660|No Load||
35975|PH3660|No Load||
35975|RBF7660|No Load||
35976|PHN5660|No Load||
35976|RBF5660|No Load||
35977|DYN1297|Front End Load||
35977|DYN1298|Low Service Charge||
35977|DYN1299|Deferred Sales Charge (Back End Load)||
35977|DYN7014|Low Service Charge||
35978|DYN1287|No Load||
35979|DYN1342|No Load||
35982|DYN1550|Front End Load||
35982|DYN1551|Low Service Charge||
35982|DYN1552|Deferred Sales Charge (Back End Load)||
35983|DYN1553|No Load||
35984|DYN1549|No Load||
35985|PIC500|Front End Load||
35986|PIC501|Front End Load||
35987|PIC600|Front End Load||
35988|PIC601|Front End Load||
36001|MFC2989|Front End Load||
36001|MFC3691|Deferred Sales Charge (Back End Load)||
36001|MFC4208|Low Service Charge||
36001|MFC7190|Low Service Charge||
36002|MFC2990|Front End Load||
36002|MFC3692|Deferred Sales Charge (Back End Load)||
36002|MFC4209|Low Service Charge||
36002|MFC7191|Low Service Charge||
36003|MFC2991|No Load||
36004|MFC2992|No Load||
36005|MFC2993|Front End Load||
36006|MFC2994|Front End Load||
36009|DFA491|No Load||
36010|DFA492|No Load||
36012|BNS430|No Load||
36013|BNS431|No Load||
36014|BNS432|No Load||
36015|BMO3091|Front End Load||
36015|BMO3092|Deferred Sales Charge (Back End Load)||
36015|BMO3093|Low Service Charge||
36016|BMO3094|Front End Load||
36016|BMO3095|Deferred Sales Charge (Back End Load)||
36016|BMO3096|Low Service Charge||
36024|JHN80503|Deferred Sales Charge (Back End Load)||
36025|JHN80519|Deferred Sales Charge (Back End Load)||
36026|JHN80535|Deferred Sales Charge (Back End Load)||
36033|CIG7611|Initial Service Charge||
36033|CIG7611P|Initial Service Charge||
36033|CIG7661|Deferred Sales Charge (Back End Load)||
36033|CIG7661P|Deferred Sales Charge (Back End Load)||
36034|CIG7511|Initial Service Charge||
36034|CIG7511P|Initial Service Charge||
36034|CIG7561|Deferred Sales Charge (Back End Load)||
36034|CIG7561P|Deferred Sales Charge (Back End Load)||
36035|CIG7411|Initial Service Charge||
36035|CIG7411P|Initial Service Charge||
36035|CIG7461|Initial Service Charge||
36035|CIG7461P|Initial Service Charge||
36036|CIG7612|Initial Service Charge||
36036|CIG7612P|Initial Service Charge||
36036|CIG7662|Deferred Sales Charge (Back End Load)||
36036|CIG7662P|Deferred Sales Charge (Back End Load)||
36037|CIG7512|Initial Service Charge||
36037|CIG7512P|Initial Service Charge||
36037|CIG7562|Deferred Sales Charge (Back End Load)||
36037|CIG7562P|Deferred Sales Charge (Back End Load)||
36038|CIG7412|Initial Service Charge||
36038|CIG7412P|Initial Service Charge||
36038|CIG7462|Initial Service Charge||
36038|CIG7462P|Initial Service Charge||
36039|CIG7613|Initial Service Charge||
36039|CIG7613P|Front End Load||
36039|CIG7663|Deferred Sales Charge (Back End Load)||
36039|CIG7663P|Deferred Sales Charge (Back End Load)||
36040|CIG7513|Front End Load||
36040|CIG7513P|Initial Service Charge||
36040|CIG7563|Deferred Sales Charge (Back End Load)||
36040|CIG7563P|Deferred Sales Charge (Back End Load)||
36041|CIG7413|Initial Service Charge||
36041|CIG7413P|Initial Service Charge||
36041|CIG7463|Initial Service Charge||
36041|CIG7463P|Initial Service Charge||
36047|CIG7614|Initial Service Charge||
36047|CIG7614P|Initial Service Charge||
36047|CIG7664|Deferred Sales Charge (Back End Load)||
36047|CIG7664P|Deferred Sales Charge (Back End Load)||
36048|CIG7514|Initial Service Charge||
36048|CIG7514P|Initial Service Charge||
36048|CIG7564|Deferred Sales Charge (Back End Load)||
36048|CIG7564P|Deferred Sales Charge (Back End Load)||
36049|CIG7414|Initial Service Charge||
36049|CIG7414P|Initial Service Charge||
36049|CIG7464|Initial Service Charge||
36049|CIG7464P|Initial Service Charge||
36050|CIG7621|Initial Service Charge||
36050|CIG7621P|Initial Service Charge||
36050|CIG7671|Deferred Sales Charge (Back End Load)||
36050|CIG7671P|Deferred Sales Charge (Back End Load)||
36051|CIG7521|Initial Service Charge||
36051|CIG7521P|Initial Service Charge||
36051|CIG7571|Deferred Sales Charge (Back End Load)||
36051|CIG7571P|Deferred Sales Charge (Back End Load)||
36052|CIG7421|Initial Service Charge||
36052|CIG7421P|Initial Service Charge||
36052|CIG7471|Initial Service Charge||
36052|CIG7471P|Initial Service Charge||
36053|CIG7622|Initial Service Charge||
36053|CIG7622P|Initial Service Charge||
